Charity,All time funding (990),All time pledged,Website,Passthrough,EIN,Annual Revenue,Tags,2025,,,,,,,2024,,,,,,2023,,,,2022,,2021,,2020,2019,,2018,,2017,,2016,,2015,,2014,,2013,,2012,,2011
,,,,,,,,Videos,Views,Featured,Pledged,Form 990,P4ALink,Status,Videos,Views,Featured,Pledged,Form 990,Status,Featured,Pledged,Form 990,Status,Pledged,Form 990,Pledged,Form 990,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged
World Bicycle Relief,"$32,024.00","$32,023.26",https://worldbicyclerelief.org/,,20-5080679,"$15,524,972","Poverty; Public safety, disaster preparedness & relief",,,,,,,,1,137,,,,no fund or feat,x,,,feat not fund,"$32,023.26","$32,024.00",,,,,,,,,,,,,,,,,,,,
Kick it for Cancer,$0.00,$0.00,https://www.facebook.com/BeesKickIt/,Brecksville - Broadview Heights City School District,34-1726629,"$151,214",Cancer; Education,,,,,,,,1,352,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
National Park Foundation,"$32,024.00","$32,023.26",https://www.nationalparks.org/,,52-1086761,"$151,584,507",Environment,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,"$32,023.26","$32,024.00",,,,,,,,,,,,,,,,,,,,
Hear Your Song,"$36,948.00","$74,244.91",https://www.hearyoursong.org/,,85-3483842,"$152,694",Health care; Human services,,,,,,,,14,1374,,"$37,297.09",,fund not feat,,"$36,947.82","$36,948.00",fund not feat,,,,,,,,,,,,,,,,,,,,,,
Missoula Urban Demonstration Project (MUD),0,0,https://mudproject.org/,,81-0410863,"$153,396",Education; Environment and conservation,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camp Lilac,"$36,948.00","$74,244.91",https://www.camplilac.org/,GenderSphere,82-0712841,"$155,029",Children; Human services; Lgbtq+ rights,,,,,,,,2,626,,"$37,297.09",,fund not feat,x,"$36,947.82","$36,948.00",fund and feat,,,,,,,,,,,,,,,,,,,,,,
Associação Auxílio e Amizade (Aid & Friendship Association),"$32,024.00","$32,023.26",https://auxilioeamizade.pt/,,NIPC 505850117,"$156,000.00",Community services,,,,,,,,1,413,,,,no fund or feat,x,,,feat not fund,"$32,023.26","$32,024.00",,,,,,,,,,,,,,,,,,,,
Friends of Rescue Animals,0,0,https://frastx.org/,,20-1606547,"$158,768",Animal-related; Animals,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communitopia,0,0,https://www.communitopiapgh.org/,,26-4350431,"$160,700",Education; Environment; Environment and conservation,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TravlerPack,$0.00,$0.00,https://travlerpack.org/,,88-3734431,"$160,807",Human services,,,,,,,,1,298,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
FREE2LUV,0,0,https://free2luv.org,,45-4158223,"$161,133",Arts and culture; Human services; Lgbtq+; Mental health,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midtown Greenway Coalition,0,0,https://midtowngreenway.org/,,41-1825584,"$165,602",Community improvement; Community improvement & capacity building,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malala Fund,"$15,271.00","$15,270.77",https://www.malala.org/,,81-1397590,"$17,216,455",Education,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,"$15,271.00","$15,270.77",,,,,,,,
