Year,State,District,Awards,Funding
,,Summary for Alabama by Congressional District,,
2014,,Congressional District,Awards,Funding
2014,,6,13,"$5,822,828"
2014,,8,1,"$187,500"
2014,,10,39,"$26,117,252"
2014,,12,12,"$9,229,639"
2014,,Total,65,"$41,357,219"
2014,,Summary for New Mexico by Congressional District,,
2014,,Congressional District,Awards,Funding
2014,,1,14,"$8,615,759"
2014,,2,3,"$1,105,303"
2014,,3,5,"$1,940,659"
2014,,Total,22,"$11,661,721"
2014,,Summary for New York by Congressional District,,
2014,,Congressional District,Awards,Funding
2014,,1,19,"$6,121,282"
2014,,3,11,"$6,359,717"
2014,,4,1,"$299,948"
2014,,7,2,"$1,292,515"
2014,,9,5,"$3,924,983"
2014,,10,5,"$4,746,068"
2014,,12,162,"$78,819,868"
2014,,13,107,"$76,856,138"
2014,,14,43,"$27,353,719"
2014,,15,1,"$143,695"
2014,,17,4,"$1,292,623"
2014,,20,18,"$9,914,925"
2014,,21,3,"$391,400"
2014,,23,19,"$5,706,473"
2014,,24,1,"$402,500"
2014,,25,38,"$21,842,523"
2014,,26,24,"$10,785,320"
2014,,Total,463,"$256,253,697"
2014,,Summary for North Carolina by Congressional District,,
2014,,Congressional District,Awards,Funding
2014,,1,80,"$126,089,706"
2014,,3,5,"$1,007,956"
2014,,4,105,"$71,867,298"
2014,,5,10,"$2,880,202"
2014,,6,1,"$225,000"
2014,,Total,201,"$202,070,162"
2014,,Summary for North Dakota by Congressional District,,
2014,,Congressional District,Awards,Funding
2014,,At-Large,3,"$690,000"
2014,,Total,3,"$690,000"
2014,,Summary for Ohio by Congressional District,,
2014,,Congressional District,Awards,Funding
2014,,1,34,"$14,903,207"
2014,,3,42,"$17,912,838"
2014,,6,2,"$853,058"
2014,,7,1,"$365,000"
2014,,8,1,"$319,500"
2014,,9,7,"$1,816,491"
2014,,11,41,"$22,849,432"
2014,,12,4,"$1,362,042"
2014,,16,2,"$699,765"
2014,,Total,134,"$61,081,333"
2014,,Summary for Oklahoma by Congressional District,,
2014,,Congressional District,Awards,Funding
2014,,3,6,"$1,403,694"
2014,,4,5,"$1,907,077"
2014,,5,13,"$6,938,846"
2014,,Total,24,"$10,249,617"
2014,,Summary for Oregon by Congressional District,,
2014,,Congressional District,Awards,Funding
2014,,1,3,"$1,565,619"
2014,,3,39,"$24,196,392"
2014,,4,8,"$3,113,523"
2014,,Total,50,"$28,875,534"
2014,,Summary for Pennsylvania by Congressional District,,
2014,,Congressional District,Awards,Funding
2014,,1,17,"$5,321,291"
2014,,2,155,"$68,006,143"
2014,,5,15,"$5,916,912"
2014,,6,7,"$5,332,408"
2014,,7,1,"$300,000"
2014,,8,9,"$4,816,037"
2014,,13,9,"$4,908,086"
2014,,14,66,"$52,057,117"
2014,,15,12,"$4,216,744"
2014,,Total,291,"$150,874,738"
2014,,Summary for Rhode Island by Congressional District,,
2014,,Congressional District,Awards,Funding
2014,,1,16,"$6,514,468"
2014,,2,16,"$2,362,902"
2014,,Total,32,"$8,877,370"
2014,,Summary for South Carolina by Congressional District,,
2014,,Congressional District,Awards,Funding
2014,,3,2,"$271,634"
2014,,4,1,"$295,755"
2014,,6,7,"$1,659,428"
2014,,Total,10,"$2,226,817"
2014,,Summary for South Dakota by Congressional District,,
2014,,Congressional District,Awards,Funding
2014,,At-Large,4,"$1,027,962"
2014,,Total,4,"$1,027,962"
2014,,Summary for Tennessee by Congressional District,,
2014,,Congressional District,Awards,Funding
2014,,1,2,"$798,822"
2014,,2,3,"$964,446"
2014,,5,57,"$23,726,809"
2014,,9,32,"$26,739,486"
2014,,Total,94,"$52,229,563"
2014,,Summary for Texas by Congressional District,,
2014,,Congressional District,Awards,Funding
2014,,1,1,"$279,180"
2014,,2,5,"$1,985,679"
2014,,7,26,"$8,644,005"
2014,,9,50,"$19,407,403"
2014,,10,1,"$1,000,000"
2014,,12,1,"$73,000"
2014,,14,44,"$35,398,576"
2014,,16,6,"$2,324,677"
2014,,17,26,"$8,394,078"
2014,,18,2,"$1,216,176"
2014,,19,9,"$2,427,218"
2014,,20,3,"$661,500"
2014,,21,16,"$6,558,444"
2014,,23,5,"$2,848,705"
2014,,25,14,"$4,001,885"
2014,,30,53,"$25,749,271"
2014,,31,1,"$507,474"
2014,,32,2,"$545,988"
2014,,Total,265,"$122,023,259"
2014,,Summary for Utah by Congressional District,,
2014,,Congressional District,Awards,Funding
2014,,1,8,"$1,796,475"
2014,,2,22,"$7,683,378"
2014,,4,1,"$149,156"
2014,,Total,31,"$9,629,009"
2014,,Summary for Vermont by Congressional District,,
2014,,Congressional District,Awards,Funding
2014,,At-Large,9,"$2,411,230"
2014,,Total,9,"$2,411,230"
2014,,Summary for Virginia by Congressional District,,
2014,,Congressional District,Awards,Funding
2014,,1,4,"$3,395,340"
2014,,3,19,"$5,692,399"
2014,,5,50,"$16,379,236"
2014,,9,17,"$4,421,897"
2014,,11,5,"$1,056,950"
2014,,Total,95,"$30,945,822"
2014,,Summary for Washington by Congressional District,,
2014,,Congressional District,Awards,Funding
2014,,1,2,"$1,022,365"
2014,,5,7,"$2,105,075"
2014,,6,5,"$3,186,368"
2014,,7,208,"$224,881,915"
2014,,8,1,"$225,000"
2014,,9,1,"$417,336"
2014,,Total,224,"$231,838,059"
2014,,Summary for Wisconsin by Congressional District,,
2014,,Congressional District,Awards,Funding
2014,,2,59,"$44,917,846"
2014,,4,4,"$894,959"
2014,,5,23,"$7,392,536"
2014,,Total,86,"$53,205,341"
2014,,Summary for Wyoming by Congressional District,,
2014,,Congressional District,Awards,Funding
2014,,At-Large,1,"$225,000"
2014,,Total,1,"$225,000"
,,,,
2013,,Summary for Alabama by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,1,3,"$787,350"
2013,,3,1,"$444,000"
2013,,7,82,"$40,981,643"
2013,,Total,86,"$42,212,993"
2013,,Summary for Arizona by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,1,1,"$435,583"
2013,,5,11,"$3,456,578"
2013,,6,2,"$1,385,400"
2013,,7,20,"$7,134,695"
2013,,9,1,"$145,637"
2013,,Total,35,"$12,557,893"
2013,,Summary for Arkansas by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,1,1,"$191,760"
2013,,2,12,"$2,170,753"
2013,,3,1,"$299,995"
2013,,Total,14,"$2,662,508"
2013,,Summary for California by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,3,40,"$13,601,351"
2013,,5,1,"$72,350"
2013,,12,133,"$88,792,052"
2013,,13,46,"$23,951,763"
2013,,14,7,"$2,850,482"
2013,,15,8,"$3,367,602"
2013,,17,2,"$1,733,924"
2013,,18,116,"$55,512,994"
2013,,19,2,"$5,784,673"
2013,,20,11,"$3,510,025"
2013,,22,1,"$911,830"
2013,,23,5,"$1,625,647"
2013,,27,4,"$2,540,834"
2013,,28,11,"$3,529,475"
2013,,29,6,"$4,761,568"
2013,,30,1,"$145,000"
2013,,31,1,"$542,713"
2013,,32,8,"$6,253,667"
2013,,33,66,"$34,475,954"
2013,,37,12,"$6,837,966"
2013,,39,2,"$644,553"
2013,,41,15,"$4,495,935"
2013,,43,8,"$2,099,589"
2013,,44,4,"$1,088,373"
2013,,45,2,"$1,080,873"
2013,,48,35,"$20,903,202"
2013,,49,89,"$71,934,915"
2013,,50,1,"$370,000"
2013,,52,124,"$75,914,245"
2013,,53,3,"$1,219,691"
2013,,Total,764,"$440,553,246"
2013,,Summary for Colorado by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,1,24,"$7,695,926"
2013,,2,34,"$12,265,761"
2013,,4,27,"$15,956,457"
2013,,5,1,"$176,736"
2013,,6,39,"$14,657,998"
2013,,Total,125,"$50,752,878"
2013,,Summary for Connecticut by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,2,2,"$522,240"
2013,,3,99,"$37,289,059"
2013,,5,18,"$7,901,834"
2013,,11,1,"$300,000"
2013,,Total,120,"$46,013,133"
2013,,Summary for District Of Columbia by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,At-Large,23,"$13,825,107"
2013,,Total,23,"$13,825,107"
2013,,Summary for Florida by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,2,4,"$2,485,621"
2013,,3,3,"$1,583,549"
2013,,6,29,"$13,393,252"
2013,,7,10,"$2,508,272"
2013,,15,18,"$5,610,584"
2013,,18,15,"$8,539,305"
2013,,19,1,"$381,052"
2013,,21,2,"$749,389"
2013,,22,4,"$1,616,038"
2013,,23,1,"$355,301"
2013,,27,30,"$17,875,652"
2013,,Total,117,"$55,098,015"
2013,,Summary for Georgia by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,4,2,"$40,000"
2013,,5,112,"$79,630,131"
2013,,10,32,"$9,550,036"
2013,,11,2,"$576,690"
2013,,12,7,"$3,219,329"
2013,,Total,155,"$93,016,186"
2013,,Summary for Hawaii by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,1,6,"$3,713,643"
2013,,Total,6,"$3,713,643"
2013,,Summary for Idaho by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,1,2,"$626,352"
2013,,2,1,"$204,920"
2013,,Total,3,"$831,272"
2013,,Summary for Illinois by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,1,41,"$22,477,191"
2013,,6,1,"$459,396"
2013,,7,101,"$47,088,092"
2013,,9,3,"$1,309,541"
2013,,10,4,"$848,576"
2013,,13,10,"$3,182,252"
2013,,Total,160,"$75,365,048"
2013,,Summary for Indiana by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,2,13,"$5,232,964"
2013,,4,8,"$3,138,255"
2013,,7,27,"$9,897,645"
2013,,9,11,"$3,033,262"
2013,,Total,59,"$21,302,126"
2013,,Summary for Iowa by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,2,41,"$18,749,569"
2013,,3,1,"$256,484"
2013,,4,10,"$3,531,792"
2013,,Total,52,"$22,537,845"
2013,,Summary for Kansas by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,1,9,"$3,193,848"
2013,,2,6,"$2,759,065"
2013,,3,7,"$1,877,230"
2013,,Total,22,"$7,830,143"
2013,,Summary for Kentucky by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,3,7,"$2,402,120"
2013,,6,16,"$4,146,096"
2013,,Total,23,"$6,548,216"
2013,,Summary for Louisiana by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,1,24,"$11,842,926"
2013,,2,4,"$1,522,624"
2013,,4,2,"$674,850"
2013,,6,7,"$2,009,737"
2013,,Total,37,"$16,050,137"
2013,,Summary for Maryland by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,2,6,"$4,121,094"
2013,,3,138,"$93,035,239"
2013,,5,28,"$7,000,472"
2013,,6,47,"$40,280,232"
2013,,7,81,"$54,026,310"
2013,,8,69,"$108,146,005"
2013,,Total,369,"$306,609,352"
2013,,Summary for Massachusetts by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,2,69,"$43,160,805"
2013,,3,1,"$300,000"
2013,,4,7,"$2,351,954"
2013,,5,21,"$20,789,637"
2013,,6,2,"$1,242,482"
2013,,7,386,"$228,391,389"
2013,,8,40,"$32,049,347"
2013,,9,1,"$77,166"
2013,,Total,527,"$328,362,780"
2013,,Summary for Michigan by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,8,11,"$5,729,278"
2013,,12,63,"$26,539,804"
2013,,13,4,"$5,006,061"
2013,,Total,78,"$37,275,143"
2013,,Summary for Minnesota by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,1,29,"$18,310,208"
2013,,3,1,"$300,000"
2013,,5,55,"$50,739,931"
2013,,Total,85,"$69,350,139"
2013,,Summary for Mississippi by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,1,2,"$581,411"
2013,,3,5,"$1,195,028"
2013,,4,1,"$439,500"
2013,,Total,8,"$2,215,939"
2013,,Summary for Missouri by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,1,99,"$39,858,250"
2013,,5,2,"$508,761"
2013,,7,1,"$26,862"
2013,,9,8,"$2,903,191"
2013,,Total,110,"$43,297,064"
2013,,Summary for Montana by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,At-Large,15,"$8,038,649"
2013,,Total,15,"$8,038,649"
2013,,Summary for Nebraska by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,1,5,"$1,494,835"
2013,,2,9,"$4,578,856"
2013,,Total,14,"$6,073,691"
2013,,Summary for Nevada by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,2,8,"$2,599,940"
2013,,3,2,"$830,030"
2013,,Total,10,"$3,429,970"
2013,,Summary for New Hampshire by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,2,25,"$12,628,429"
2013,,Total,25,"$12,628,429"
2013,,Summary for New Jersey by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,6,22,"$6,403,059"
2013,,10,60,"$20,677,314"
2013,,12,12,"$7,374,659"
2013,,Total,94,"$34,455,032"
2013,,Summary for New Mexico by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,1,13,"$7,550,452"
2013,,2,1,"$365,000"
2013,,3,6,"$3,152,558"
2013,,Total,20,"$11,068,010"
2013,,Summary for New York by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,1,20,"$6,436,590"
2013,,3,14,"$2,768,716"
2013,,7,1,"$999,641"
2013,,9,2,"$2,447,964"
2013,,10,7,"$6,984,139"
2013,,11,1,"$223,891"
2013,,12,167,"$71,144,452"
2013,,13,96,"$69,915,553"
2013,,14,49,"$29,281,349"
2013,,15,1,"$604,491"
2013,,17,3,"$1,138,151"
2013,,20,21,"$7,578,216"
2013,,21,2,"$620,573"
2013,,23,17,"$4,921,028"
2013,,24,1,"$243,308"
2013,,25,6,"$2,153,946"
2013,,26,25,"$13,868,830"
2013,,28,45,"$24,354,705"
2013,,Total,478,"$245,685,543"
2013,,Summary for North Carolina by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,1,2,"$10,411,388"
2013,,3,2,"$2,530,569"
2013,,4,179,"$164,177,408"
2013,,5,10,"$3,665,506"
2013,,12,1,"$408,230"
2013,,Total,194,"$181,193,101"
2013,,Summary for North Dakota by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,At-Large,8,"$2,340,891"
2013,,Total,8,"$2,340,891"
2013,,Summary for Ohio by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,1,38,"$17,709,713"
2013,,3,50,"$27,438,653"
2013,,5,5,"$1,193,781"
2013,,6,1,"$445,500"
2013,,7,1,"$343,100"
2013,,9,4,"$1,239,666"
2013,,11,42,"$25,560,477"
2013,,12,1,"$203,666"
2013,,16,5,"$3,592,098"
2013,,Total,147,"$77,726,654"
2013,,Summary for Oklahoma by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,3,2,"$1,187,320"
2013,,4,6,"$1,954,297"
2013,,5,19,"$10,868,834"
2013,,Total,27,"$14,010,451"
2013,,Summary for Oregon by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,1,6,"$4,268,635"
2013,,3,36,"$26,752,773"
2013,,4,2,"$2,517,040"
2013,,5,3,"$782,660"
2013,,Total,47,"$34,321,108"
2013,,Summary for Pennsylvania by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,1,14,"$5,396,432"
2013,,2,159,"$69,426,282"
2013,,5,13,"$6,021,225"
2013,,6,5,"$8,266,179"
2013,,7,1,"$1,312,685"
2013,,8,9,"$4,465,145"
2013,,13,12,"$4,641,214"
2013,,14,71,"$56,326,722"
2013,,15,11,"$3,389,085"
2013,,Total,295,"$159,244,969"
2013,,Summary for Rhode Island by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,1,19,"$6,158,504"
2013,,2,19,"$5,370,216"
2013,,Total,38,"$11,528,720"
2013,,Summary for South Carolina by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,6,7,"$1,950,486"
2013,,Total,7,"$1,950,486"
2013,,Summary for South Dakota by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,At-Large,1,"$294,097"
2013,,Total,1,"$294,097"
2013,,Summary for Tennessee by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,1,3,"$2,791,541"
2013,,2,2,"$714,194"
2013,,5,65,"$28,240,498"
2013,,9,35,"$27,198,474"
2013,,Total,105,"$58,944,707"
2013,,Summary for Texas by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,1,3,"$650,179"
2013,,2,5,"$2,071,665"
2013,,7,25,"$7,619,145"
2013,,9,59,"$24,148,719"
2013,,10,1,"$1,000,000"
2013,,12,3,"$443,440"
2013,,14,39,"$36,064,162"
2013,,16,4,"$1,456,461"
2013,,17,22,"$7,031,053"
2013,,18,1,"$58,695"
2013,,19,6,"$1,141,286"
2013,,20,7,"$3,761,090"
2013,,21,28,"$9,904,294"
2013,,23,5,"$825,268"
2013,,30,49,"$24,871,474"
2013,,31,2,"$1,109,859"
2013,,32,1,"$156,710"
2013,,Total,260,"$122,313,500"
2013,,Summary for Utah by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,1,12,"$3,875,933"
2013,,2,20,"$7,818,725"
2013,,3,1,"$449,087"
2013,,Total,33,"$12,143,745"
2013,,Summary for Vermont by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,At-Large,6,"$1,675,656"
2013,,Total,6,"$1,675,656"
2013,,Summary for Virginia by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,1,9,"$16,655,042"
2013,,3,11,"$3,437,693"
2013,,5,43,"$15,891,998"
2013,,9,20,"$7,612,740"
2013,,11,3,"$964,406"
2013,,Total,86,"$44,561,879"
2013,,Summary for Washington by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,1,2,"$445,203"
2013,,4,1,"$449,551"
2013,,5,8,"$1,870,781"
2013,,6,5,"$3,314,257"
2013,,7,200,"$158,056,452"
2013,,9,10,"$4,272,417"
2013,,Total,226,"$168,408,661"
2013,,Summary for West Virginia by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,1,1,"$106,183"
2013,,Total,1,"$106,183"
2013,,Summary for Wisconsin by Congressional District,,
2013,,Congressional District,Awards,Funding
2013,,2,51,"$26,836,256"
2013,,4,6,"$810,961"
2013,,5,27,"$7,391,526"
2013,,Total,84,"$35,038,743"
,,,,
2012,,Summary for Alabama by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,1,2,"$620,109"
2012,,6,12,"$6,612,505"
2012,,7,67,"$35,090,718"
2012,,Total,81,"$42,323,332"
2012,,Summary for Arizona by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,4,3,"$1,660,338"
2012,,5,14,"$4,593,058"
2012,,7,15,"$5,888,433"
2012,,Total,32,"$12,141,829"
2012,,Summary for Arkansas by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,1,1,"$170,000"
2012,,2,8,"$2,024,447"
2012,,3,3,"$807,407"
2012,,Total,12,"$3,001,854"
2012,,Summary for California by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,1,41,"$16,110,285"
2012,,7,3,"$501,252"
2012,,8,10,"$6,520,026"
2012,,9,55,"$26,169,126"
2012,,10,2,"$1,174,477"
2012,,11,2,"$590,927"
2012,,12,136,"$84,860,532"
2012,,13,4,"$3,690,263"
2012,,14,129,"$68,409,782"
2012,,15,1,"$299,870"
2012,,17,8,"$3,786,441"
2012,,21,1,"$415,200"
2012,,22,1,"$943,211"
2012,,23,4,"$1,367,384"
2012,,26,2,"$1,841,972"
2012,,27,1,"$1,077,815"
2012,,29,11,"$4,879,841"
2012,,30,92,"$43,895,161"
2012,,31,2,"$804,466"
2012,,32,6,"$3,371,421"
2012,,33,9,"$6,462,926"
2012,,36,7,"$2,116,787"
2012,,37,2,"$507,539"
2012,,38,4,"$2,567,642"
2012,,41,1,"$556,849"
2012,,44,12,"$4,102,248"
2012,,48,40,"$22,282,705"
2012,,50,14,"$15,800,332"
2012,,52,1,"$926,325"
2012,,53,216,"$138,848,032"
2012,,Total,817,"$464,880,837"
2012,,Summary for Colorado by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,1,22,"$6,634,570"
2012,,2,28,"$5,376,712"
2012,,4,34,"$23,099,781"
2012,,5,1,"$188,962"
2012,,7,40,"$14,518,679"
2012,,Total,125,"$49,818,704"
2012,,Summary for Connecticut by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,1,1,"$126,393"
2012,,2,5,"$1,824,900"
2012,,3,124,"$45,966,193"
2012,,5,20,"$6,799,727"
2012,,Total,150,"$54,717,213"
2012,,Summary for District Of Columbia by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,At-Large,23,"$17,359,826"
2012,,Total,23,"$17,359,826"
2012,,Summary for Florida by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,2,4,"$2,932,304"
2012,,3,1,"$370,000"
2012,,6,33,"$12,075,402"
2012,,9,10,"$3,139,457"
2012,,11,2,"$708,200"
2012,,16,3,"$1,334,213"
2012,,17,21,"$14,891,381"
2012,,21,2,"$817,454"
2012,,22,6,"$2,227,369"
2012,,23,1,"$300,000"
2012,,24,5,"$1,483,237"
2012,,Total,88,"$40,279,017"
2012,,Summary for Georgia by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,5,116,"$84,353,434"
2012,,10,32,"$10,582,235"
2012,,12,5,"$3,803,862"
2012,,13,2,$2
2012,,Total,155,"$98,739,533"
2012,,Summary for Hawaii by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,1,6,"$3,531,812"
2012,,Total,6,"$3,531,812"
2012,,Summary for Idaho by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,1,2,"$667,060"
2012,,2,1,"$365,116"
2012,,Total,3,"$1,032,176"
2012,,Summary for Illinois by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,1,45,"$26,252,150"
2012,,4,14,"$4,446,826"
2012,,5,2,"$1,811,394"
2012,,7,89,"$43,311,783"
2012,,10,6,"$1,325,867"
2012,,11,2,"$858,500"
2012,,14,2,"$427,235"
2012,,15,13,"$4,342,093"
2012,,17,1,"$354,061"
2012,,Total,174,"$83,129,909"
2012,,Summary for Indiana by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,2,16,"$6,990,981"
2012,,4,10,"$4,044,166"
2012,,7,38,"$13,570,695"
2012,,9,10,"$3,686,287"
2012,,Total,74,"$28,292,129"
2012,,Summary for Iowa by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,2,44,"$18,690,190"
2012,,4,12,"$4,859,006"
2012,,Total,56,"$23,549,196"
2012,,Summary for Kansas by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,2,6,"$2,936,218"
2012,,3,19,"$5,035,796"
2012,,Total,25,"$7,972,014"
2012,,Summary for Kentucky by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,3,5,"$2,304,784"
2012,,6,21,"$5,760,694"
2012,,Total,26,"$8,065,478"
2012,,Summary for Louisiana by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,1,1,"$469,129"
2012,,2,24,"$12,352,087"
2012,,4,2,"$717,924"
2012,,6,3,"$799,274"
2012,,Total,30,"$14,338,414"
2012,,Summary for Maine by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,2,2,"$771,632"
2012,,Total,2,"$771,632"
2012,,Summary for Maryland by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,3,8,"$7,628,694"
2012,,4,8,"$13,498,745"
2012,,5,28,"$9,084,445"
2012,,6,9,"$10,045,708"
2012,,7,205,"$154,181,703"
2012,,8,97,"$118,491,315"
2012,,Total,355,"$312,930,610"
2012,,Summary for Massachusetts by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,1,2,"$2,352,374"
2012,,2,3,"$4,493,582"
2012,,3,79,"$46,511,888"
2012,,4,5,"$2,249,431"
2012,,6,4,"$2,439,117"
2012,,7,8,"$3,971,873"
2012,,8,359,"$282,877,977"
2012,,9,92,"$54,495,387"
2012,,10,1,"$222,371"
2012,,Total,553,"$399,614,000"
2012,,Summary for Michigan by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,2,2,"$451,898"
2012,,6,2,"$1,240,904"
2012,,8,12,"$5,598,428"
2012,,13,7,"$5,338,358"
2012,,15,70,"$24,254,291"
2012,,Total,93,"$36,883,879"
2012,,Summary for Minnesota by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,1,31,"$21,947,594"
2012,,5,61,"$41,623,486"
2012,,Total,92,"$63,571,080"
2012,,Summary for Mississippi by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,1,1,"$392,035"
2012,,3,1,"$162,000"
2012,,4,1,"$439,500"
2012,,Total,3,"$993,535"
2012,,Summary for Missouri by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,1,19,"$6,730,569"
2012,,3,75,"$38,606,651"
2012,,5,3,"$864,341"
2012,,7,1,"$396,264"
2012,,9,15,"$4,977,987"
2012,,Total,113,"$51,575,812"
2012,,Summary for Montana by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,At-Large,19,"$5,445,812"
2012,,Total,19,"$5,445,812"
2012,,Summary for Nebraska by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,1,4,"$1,179,789"
2012,,2,15,"$6,520,875"
2012,,Total,19,"$7,700,664"
2012,,Summary for Nevada by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,2,6,"$2,300,897"
2012,,Total,6,"$2,300,897"
2012,,Summary for New Hampshire by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,2,30,"$13,788,222"
2012,,Total,30,"$13,788,222"
2012,,Summary for New Jersey by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,6,14,"$5,241,760"
2012,,7,3,"$1,906,838"
2012,,9,1,"$220,125"
2012,,10,34,"$18,580,704"
2012,,12,11,"$5,629,588"
2012,,Total,63,"$31,579,015"
2012,,Summary for New Mexico by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,1,18,"$12,290,759"
2012,,2,1,"$213,000"
2012,,3,5,"$2,645,229"
2012,,Total,24,"$15,148,988"
2012,,Summary for New York by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,1,24,"$8,049,722"
2012,,3,5,"$532,645"
2012,,5,13,"$5,923,783"
2012,,8,12,"$10,105,482"
2012,,10,1,"$185,773"
2012,,11,5,"$4,342,690"
2012,,13,1,"$3,000"
2012,,14,211,"$103,848,164"
2012,,15,93,"$63,505,809"
2012,,16,1,"$685,005"
2012,,17,1,"$3,198,087"
2012,,18,3,"$1,732,285"
2012,,20,1,"$106,732"
2012,,21,23,"$8,330,486"
2012,,22,22,"$7,915,976"
2012,,23,6,"$2,423,275"
2012,,24,3,"$906,574"
2012,,25,4,"$1,336,369"
2012,,26,21,"$6,225,613"
2012,,27,3,"$7,103,572"
2012,,28,52,"$30,390,221"
2012,,29,1,"$890,573"
2012,,Total,506,"$267,741,836"
2012,,Summary for North Carolina by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,3,2,"$634,178"
2012,,4,194,"$170,664,974"
2012,,5,13,"$4,354,196"
2012,,7,5,"$18,191,339"
2012,,13,2,"$684,465"
2012,,Total,216,"$194,529,152"
2012,,Summary for North Dakota by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,At-Large,11,"$2,822,537"
2012,,Total,11,"$2,822,537"
2012,,Summary for Ohio by Congressional District,,
2012,,Congressional District,Awards,Funding
2012,,1,44,"$19,258,171"
2012,,7,2,"$583,041"
2012,,9,7,"$1,963,061"
2012,,11,44,"$26,118,967"
2012,,12,12,"$3,691,301"
2012,,13,6,"$12,500,568"
2012,,15,41,"$15,001,751"
2012,,Total,156,"$79,116,860"
